upperdistrict,name,population2015,population2014,population2013,population2012,population2011,crimebook2015,crimebook2014,crimebook2013,crimebook2012,crimebook2011,crimes2015,crimes2014,crimes2013,crimes2012,crimes2011,economiccrimes2015,economiccrimes2014,economiccrimes2013,economiccrimes2012,economiccrimes2011,gravecrimes2015,gravecrimes2014,gravecrimes2013,gravecrimes2012,gravecrimes2011,murders2015,murders2014,murders2013,murders2012,murders2011,healthdamage2015,healthdamage2014,healthdamage2013,healthdamage2012,healthdamage2011,robbing2015,robbing2014,robbing2013,robbing2012,robbing2011,banditry2015,banditry2014,banditry2013,banditry2012,banditry2011,thefts2015,thefts2014,thefts2013,thefts2012,thefts2011,burglary2015,burglary2014,burglary2013,burglary2012,burglary2011,carthefts2015,carthefts2014,carthefts2013,carthefts2012,carthefts2011,fraud2015,fraud2014,fraud2013,fraud2012,fraud2011,hijacking2015,hijacking2014,hijacking2013,hijacking2012,hijacking2011,drugs2015,drugs2014,drugs2013,drugs2012,drugs2011,publicplaces2015,publicplaces2014,publicplaces2013,publicplaces2012,publicplaces2011,street2015,street2014,street2013,street2012,street2011,sources
СВАО,Свиблово,62 115,61 779,61 721,61 315,60 954,,11295,,,,1121,1214,1229,1128,875,,,,,,,258,233,208,,2,2,2,4,,2,2,8,12,,46,57,60,67,,5,8,8,5,,823,782,856,817,,27,40,35,36,,34,38,58,50,,,,105,71,,7,10,7,3,,,,48,30,,,910,862,909,,,415,482,452,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Sviblovo
СВАО,Северное Медведково,126 637,125 591,125 481,124 607,124 041,28220,24574,19592,16599,,1608,1710,1551,1768,,,,,,,440,598,362,381,,,5,8,,,4,13,10,,,107,97,116,122,,10,15,11,,,869,783,798,1021,,62,49,42,46,,81,88,91,122,,169,168,136,135,,13,19,15,,,150,264,138,,,976,1141,1078,,,656,855,879,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/SevernoyeMedvedkovo
СВАО,Северный,32 776,31 986,30 956,30 061,28 151,,,5275,,,555,496,584,548,,,,,,,125,135,147,149,,,3,0,1,,,4,3,2,,33,30,47,67,,4,6,6,5,,357,302,378,376,,16,7,12,14,,35,40,62,67,,,31,48,24,,4,2,2,5,,39,38,28,15,,,371,434,444,,,191,255,307,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Severny
СВАО,Южное Медведково,84 923,84 390,84 347,83 564,82 720,18340,16928,14886,15125,,1020,989,974,1030,,5,20,,,,242,230,242,251,293,2,1,3,1,,4,4,8,9,,55,39,37,51,,2,6,9,6,,532,570,537,627,,26,37,42,54,,34,31,47,73,,112,69,132,117,,8,5,7,15,,125,131,86,82,,599,641,552,773,,368,430,449,563,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/YuzhnoyeMedvedkovo
СВАО,Ярославский,96 971,95 913,95 628,95 076,94 832,,17120,,,,901,968,1252,1232,,,,,,,269,282,326,179,365,4,1,,,,,11,5,,,46,41,38,,,9,6,4,,,461,441,,,,28,41,33,31,,74,39,38,57,,76,87,80,,,,15,4,,,,,,,,588,600,738,851,,403,413,532,655,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Yaroslavsky
ВАО,Богородское,107 629,106 828,106 076,105 412,104 911,,22694,21307,17381,,1357,1261,1116,968,1289,,,12,4,,,307,316,331,413,2,8,5,4,6,8,15,6,8,,76,74,99,84,126,21,16,22,28,43,679,651,524,576,814,42,48,63,94,167,39,44,50,62,80,,97,87,41,57,10,6,23,14,36,149,154,142,104,42,849,793,585,549,604,573,590,505,487,530,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Bogorodskoye
ВАО,Вешняки,122 124,121 693,121 605,121 007,120 949,,28662,33804,,,1746,1827,1688,1855,1635,,,,149,,413,450,475,458,,4,5,7,3,11,10,7,13,19,21,107,89,125,165,119,13,6,27,26,22,894,951,867,988,989,51,66,78,77,100,56,101,101,132,136,157,166,133,108,70,,18,,,,,238,215,153,68,,1257,841,1116,1025,,955,671,807,653,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Veshnyaki
ВАО,Восточное Измайлово,77 969,77 698,77 624,77 105,77 021,,,,11691,12314,946,794,657,849,737,,,,9,,293,238,223,257,,,2,4,2,5,,8,3,6,,,36,43,84,,,13,8,19,,,429,364,505,,8,24,36,,,,46,40,68,,31,63,24,54,,,9,2,,,185,133,133,90,,597,563,346,610,491,,465,311,512,412,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/VostochnoyeIzmaylovo
ВАО,Восточный,13 363,12 967,12 861,12 578,12 427,3292,3134,2129,1746,,128,107,84,81,114,,,,,,28,24,22,45,,1,0,0,0,0,1,1,2,0,1,2,7,4,4,6,1,0,1,3,0,73,61,49,27,46,4,3,5,6,6,7,9,8,8,7,19,8,3,5,9,2,0,,,,3,8,10,30,21,,47,33,42,46,48,40,31,38,44,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Vostochny
ВАО,Гольяново,162 030,160 372,159 938,159 284,158 096,46129,44465,34547,32802,,1845,2052,2867,2373,2786,,,,70,,531,644,1367,733,702,3,5,4,5,17,,5,26,11,21,107,122,215,259,272,20,29,55,62,90,1010,1066,1077,1320,1523,71,67,77,132,180,88,131,90,104,,172,176,,158,248,,,11,25,54,268,365,306,227,,1244,1374,1263,1104,1864,935,1164,1116,916,1643,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/EasternAO/Golyanovo
